type,src,dst,status
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100341E/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/E3100782B_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/E3100782B_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/E3100351D_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/E3100351D_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/E3100261E_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/E3100261E_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/E3100781D_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/E3100781D_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/E3100271D_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/E3100271D_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/E3100041K_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/E3100041K_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100961B/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100961B/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100961B/ses-03/info/E3100961B_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100961B/ses-03/info/E3100961B_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100961B/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981I/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981I/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981I/ses-03/info/E3100981I_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981I/ses-03/info/E3100981I_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981I/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101081F/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101081F/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101081F/ses-03/info/E3101081F_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101081F/ses-03/info/E3101081F_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101081F/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100391L/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100391L/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100391L/ses-03/info/E3100391L_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100391L/ses-03/info/E3100391L_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100391L/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101021L/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101021L/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101021L/ses-03/info/E3101021L_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101021L/ses-03/info/E3101021L_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101021L/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100731I/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100731I/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100731I/ses-03/info/E3100731I_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100731I/ses-03/info/E3100731I_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100731I/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101162D/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101162D/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101162D/ses-03/info/E3101162D_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101162D/ses-03/info/E3101162D_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101162D/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101163B/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101163B/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101163B/ses-03/info/E3101163B_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101163B/ses-03/info/E3101163B_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101163B/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981A/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981A/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981A/ses-03/info/E3100981A_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981A/ses-03/info/E3100981A_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100981A/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101271C/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101271C/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101271C/ses-03/info/E3101271C_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101271C/ses-03/info/E3101271C_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101271C/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101201J/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101201J/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101201J/ses-03/info/E3101201J_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101201J/ses-03/info/E3101201J_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101201J/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3101331E/ses-03/info/heuristic.py,,no-change
