type,src,dst,status
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMajorInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMajorInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMajorStart_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMajor_probseg.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMinorEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMinorInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMinorInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMinorInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMinorStart_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMinor_probseg.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftAnteriorThalamicEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftAnteriorThalamicInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftAnteriorThalamicInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftAnteriorThalamicStart_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftAnteriorThalamic_probseg.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftArcuateEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftArcuateInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftArcuateInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftArcuateStart_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftArcuate_probseg.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftCingulumCingulateEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftCingulumCingulateInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftCingulumCingulateInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftCingulumCingulate_probseg.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftCorticospinalEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftCorticospinalInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftCorticospinalInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-LeftCorticospinalStart_mask.json,,no-change
